parid,apn,acct
3492,01200012100,1614
3495,01200012200,1615
3498,01200012300,1616
3500,01200012400,1617
3502,01200012500,1618
3504,01200012600,1619
3506,01200012700,1620
3509,01200012800,1621
3512,01200012900,1622
3517,01200013100,1624
3518,01200013200,1625
3519,01200013300,1626
3525,01500018600,2176
3527,01500018700,2177
3529,01500018800,2178
3532,01500018900,2179
3533,01500019000,2180
3535,01500019200,2182
3541,01500019500,2184
3543,01500019600,2185
3544,01500019700,2186
3546,01500019800,2187
3548,01500019900,2188
3549,01500020000,2189
3550,01500020100,2190
3551,01500020200,2191
3552,01500020300,2192
3553,01500020400,2193
3556,01600017900,2452
3557,01600018000,2453
3564,01600018200,2455
3565,01600018300,2456
3566,01600018400,2457
3567,01600018500,2458
3568,01600018600,2459
3569,01600018700,2460
3570,01600018800,2461
3571,01600018900,2462
3573,01600019000,2463
3574,01600019100,2464
3575,01600019200,2465
3576,01600019300,2466
3579,01600019500,2467
3580,01600019600,2468
3581,01600019700,2469
3582,01600019800,2470
3586,01700016600,2704
3587,01700016700,2705
3588,01700016800,2706
3590,01700016900,2707
3592,01700017000,2708
3593,01700017100,2709
3594,01700017200,2710
3595,01700017300,2711
3596,01700017400,2712
3597,01700017500,2713
3600,01700017700,2715
3601,01700017800,2716
3604,01700017900,2717
3605,01700018000,2718
3607,01700018100,2719
3609,01700018200,2720
3612,01400012400,1913
3613,01400012500,1914
3614,01400012600,1915
3623,01400013000,1918
3625,01400013200,1920
3630,01400013400,1922
3634,01400013600,1923
3641,01500020500,2194
3642,01500020600,2195
3650,01500021200,2201
3653,01500021300,2202
3655,01500021500,2204
3665,01500021900,2208
3667,01500022000,2209
3669,01500023800,2211
3672,01600019900,2471
3673,01600020000,2472
3674,01600020100,2473
3675,01600020200,2474
3676,01600020300,2475
3677,01600020400,2476
3678,01600020500,2477
3680,01600020700,2479
3681,01600020800,2480
3682,01600020900,2481
3683,01600021000,2482
3684,01600021100,2483
3685,01600021200,2484
3687,01600021400,2485
3690,01600021500,2486
3691,01600021600,2487
3694,01600021900,2489
3696,01600022100,2491
3703,01700018400,2721
3704,01700018500,2722
3707,01700018600,2723
3709,01700018800,2725
3710,01700018900,2726
3712,01700019100,2728
3714,01700019200,2729
3715,01700019300,2730
3717,01700019500,2732
3727,01700019900,2735
3729,01700020000,2736
3730,01400014000,1927
3731,01400014100,1928
3733,01400014200,1929
3751,01400014500,1932
3756,01400014700,1934
3757,01400014800,1935
3758,01400014900,1936
3759,01400015000,1937
3760,01400015100,1938
3765,01500024400,2215
3769,01500024800,2218
3772,01500025000,2220
3779,01500025200,2222
3780,01500025300,2223
3781,01500025400,2224
3782,01500025500,2225
3783,01500025600,2226
3786,01500025700,2227
3789,01500025900,2229
3792,01600022200,2492
3793,01600022300,2493
3795,01600022500,2494
3797,01600022700,2496
3800,01600022800,2497
3801,01600022900,2498
3815,01600023500,2504
3816,01600023600,2505
3817,01600023700,2506
3820,01600024000,2509
3822,01700020100,2737
3825,01700020300,2739
3833,01700020600,2740
3834,01700020700,2741
3836,01700020900,2743
3837,01700021000,2744
3838,01700021100,2745
3839,01700021200,2746
3842,01700021500,2749
3843,01700021600,2750
3848,01700022000,2753
3856,01400015300,1940
3857,01400015400,1941
3858,01400015500,1942
3859,01400015600,1943
3863,01400015800,1945
3864,01400015900,1946
3865,01400016000,1947
3866,01400016100,1948
3867,01400016200,1949
3868,01400016300,1950
3869,01400016400,1951
3872,01400016600,1952
3873,01400016700,1953
3874,01400016800,1954
3875,01400016900,1955
3876,01400017000,1956
3877,01400017100,1957
3878,01400017200,1958
3879,01400017300,1959
3883,01500026000,2230
3884,01500026100,2231
3887,01500026400,2234
3889,01500026700,2235
3890,01500026800,2236
3892,01500027000,201584
3893,01500027100,201585
3894,01500027200,201586
3895,01500027300,205363
3899,01500027600,209140
